facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks
Nan,Perez-Taylor,Community Health Centre,0.0,St. Joseph,2016-01-27,21/11/20,-58.74395;12.74008,Reinspection Due
#827,"Garza, Harrington And Davis Hosp. (St.)",Community Health Ctr.,234.0,St. John,2024-11-25,20220920,"12.99877, -59.07534",Reinspection Due
828,"Robinson,-Pham-And-Anderson Health Centre
Newline",Hospital,449.0,St. Andrew Parish,20181217,20250220,"13.26438, -59.18007",Follow-Up 2023
828E8D,"Norton,-Smith-And-Bass Health Centre",Hospital,0.0,St.Peter,15/12/24,2019-03-10,-58.88864;12.90621,Nan
00830,"Smith, Mcclure And Hill Polyclinic (St.)",Community Health Centre,113.0,St. James,06/10/19,June 20 2023,,
831,"Davis,-Weber-And-Sanchez",Community Health Ctr.,0.0,St. Peter,15 Oct 2022,2021-02-06,,Nan
Nan,"Wright, Oconnor And Carrillo 🏥 (St.)",Community Health Ctr.,0.0,St. George,2020-06-13,20230922,Point(-59.11990 13.18001),Nan
Nan,Molina Group Infirmary,Health Ctr.,0.0,Egroeg .Ts,30 Oct 2017,23 Feb 2022,"12.80261, -58.76628",Nan
Nan,Young Inc (Christ),Hosp.,0.0,Christ Church,April 04 2019,20220516,"-58.86435, 13.11853",Good
835,Shepherd-Robinson Infirmary (St.),Community Health Centre,0.0,St. James,20190328,20240712,-59.00646;12.89907,Reinspection Due
00836,Mcbride-Lopez,Health Centre,0.0,St.John,10/07/18,2019-08-18,"-59.22104, 13.08222",-
Nan,"Powell, Clark And Krause Medical Center
Newline",Polyclinic 🏥,201.0,St.Andrew,2024-12-18,September 22 2023,"13.13490, -59.07097",-
B3F409,Rodriguez-Gilbert Infirmary (St.),Clinic,0.0,St. Peter,January 29 2020,29-09-18,"13.09746, -59.16786",-
0E87F9,"Pruitt, Morgan And Gutierrez",Hospital,0.0,St.John,05-10-22,12-05-18,Point(-58.79510 12.98657),Reinspection Due
Nan,"Murphy, Dunn And Harris Hosp.",Health Centre,0.0,St. Andrew,20 Jan 2019,20190318,"-59.27821, 13.13115",Follow-Up 2023
00841,Miller-Bates Health Centre (St.),Clinic,0.0,St. Joseph,2021-10-20,20/05/20,13°17′44″N 58°58′37″W,Good
842,"Kemp, Jordan And Warner",Health Ctr.,0.0,Christ Church,June 20 2023,20250425,-59.21215;13.14500,Reinspection Due
Nan,"Lyons, Vargas And Mendoza 🏥 (St)",Hospital,0.0,St Andrew,07/10/23,20211127,,-
844,Ryan And Sons Health Centre (St.)💊,Polyclinic,0.0,St. Lucy,24-05-24,21/05/22,,-
00845,Allen-Nelson Health Centre,Clinic,0.0,St. Andrew Parish,18-10-16,2025-11-03,,-
846,Parker-Smith 🏥,Health Centre,0.0,St. Lucy,10/08/22,27/02/19,"-58.73781, 12.95089",Nan
Nan,Wall-Morales Health Centre,Unknown,0.0,St. Peter,2018-06-18,32/13/99,12°42′55″N 58°57′55″W,Reinspection Due
Nan,Lucero And Sons Hospital (St.Lucy),Health Centre,0.0,St.Lucy,26 Jul 2018,08/07/21,Point(-59.24356 12.71821),Follow-Up 2023
Nan,Lucero And Sons Hosp. (St.Lucy),Health Centre,0.0,St.Lucy,26 Jul 2018,08/07/21,Point(-59.24356 12.71821),Follow-Up 2023
849,Garcia-Lee Health Centre (St.),Unknown,0.0,St. Michael,12/07/25,2025-05-04,-59.14991;13.10060,Reinspection Due
Nan,Brown Ltd Infirmary (St.),Chc,0.0,St. Michael,2017-06-23,21 Nov 2021,-59.11338;12.73857,Follow-Up 2023
Nan,"Ramirez, Johnston And Lamb Hosp. (St.James)",Community Health Centre,0.0,St.James,2024-06-09,16/06/24,"-59.14673, 12.97424",Reinspection Due
Hf-0852,Gomez-Barr 🏥,Hospital,0.0,St.Michael,20220317,17-06-18,"13.22269, -58.96729",Nan
A84A10,"Orr, Velez And Carr Hosp.",Health Ctr.,0.0,St. Michael,20/06/24,August 10 2021,Point(-58.73637 13.04668),♥
854,"Atkins, Hunt And Webb Polyclinic",Community Health Ctr.,0.0,St. Michael,20250405,01/06/25,"-58.76378, 13.19004",
Hf-0855,Gonzalez Group Infirmary©,Community Health Ctr.,0.0,St. Michael Parish,04 Mar 2022,16/04/18,"-59.07731, 13.22696",
00856,Morgan Ltd Polyclinic (St.),Hosp.,0.0,St. Joseph,11 Jul 2018,August 07 2020,"13.23109, -59.20854",Needs Upgrade
857,Jones-Ingram,Clinic🌡️,0.0,Christ Church Parish,20250407,02/11/21,-59.23705;12.96605,
#858,"Burke, Cordova And Hayes Medical Center",Clinic,0.0,Christ Church Parish,07-03-24,April 20 2024,13°8′30″N 58°56′31″W,
00859,"Blackwell Group
Newline",Polyclinic,0.0,St. John,December 09 2016,September 11 2023,"-58.75476, 12.89973",Nan
Nan,Garcia And Sons Clinic (St.)✨,Health Ctr.,0.0,St. James,2020-05-31,10-01-21,13°5′43″N 59°14′53″W,-
00861,"Vaughn, Graham And Velez 🏥",Polyclinic 🏥,0.0,St. John Parish,November 03 2017,20181216,"13.09453, -58.72969",-
Nan,"Gibbs,-Hinton-And-Sparks Medical Center",Clinic🌡️,0.0,St. Andrew,2022-06-19,20250728,Point(-58.83561 13.18813),Nan
#863,Martin Llc Medical Center,Hospital,0.0,St. Joseph,11-05-17,July 19 2023,"13.02117, -58.74172",Nan
#864,Dixon-Alvarez Health Centre (Christchurch),Hosp.,0.0,Christchurch,20160130,20251021,Point(-58.87939 13.21948),Needs Upgrade
Hf-0865,Michael-Llc Medical Center (St.James),Clinic,0.0,St.James,01/08/17,31 Jul 2018,12°54′35″N 58°59′16″W,Reinspection Due
#866,Smith-Hayes,Clinic,0.0,St. John,16-09-16,30 Nov 2020,,-
#867,Brooks-Contreras Hospital (St.),Hospital,0.0,St. Andrew,13 Feb 2020,2020-11-22,13°5′30″N 59°8′41″W,Good
#867,Brooks-Contreras Hosp. (St.),Hospital,0.0,St. Andrew,13 Feb 2020,2020-11-22,13°5′30″N 59°8′41″W,Good
00868,Ferguson-Mcfarland Hospital (St.),Hosp.,0.0,St. John,December 28 2017,20210921,,Needs Upgrade
00869,Bryan Group Hosp.,Health Ctr.,0.0,Nhoj .Ts,17 Jan 2018,06-01-24,12°47′34″N 58°53′10″W,Nan
Hf-0870,"Norton, Steele And Dyer (St.)",Chc,164.0,St. Joseph,20220102,01/07/19,12°55′48″N 59°4′59″W,
00871,Roberts-Davis Hosp.✨,Unknown,0.0,St. Peter,2022-07-19,2018-11-05,13°13′22″N 58°54′11″W,Reinspection Due
#872,"Thompson, Williamson And Hammond",Unknown,290.0,Christ Church,08 Sep 2021,09 Nov 2022,"-58.86149, 13.17169",-
873,Torres Ltd Clinic,Chc,0.0,St. Michael,2020-11-18,26 Apr 2020,13°7′44″N 58°53′34″W,Nan
78Eb76,"Padilla-Dunn (St.)
Newline",Community Health Centre,0.0,St. Michael,09/05/18,2025-09-05,13°15′24″N 58°53′27″W,Nan
Hf-0875,Williams And Sons (St.George),Community Health Ctr.,0.0,St.George,20170616,20190209,-58.74561;13.11402,-
#876,Meyer-Guerrero Hosp.,Hospital,0.0,St. John,15 Jan 2022,15-06-22,"12.94813, -59.03955",♥
B30F4C,Thomas-Moore 🏥©,Health Ctr.,0.0,St. Michael,2022-01-05,02/09/25,Point(-59.10322 12.86152),Needs Upgrade
00878,Spencer-Chen Infirmary (St),Polyclinic 🏥,0.0,St James,November 07 2020,07-07-21,Point(-59.20270 13.22710),Needs Upgrade
879,Ellis-Brown Health Centre,Unknown,0.0,St. John,2022-02-28,10 Mar 2018,"13.08293, -58.93360",Follow-Up 2023
Nan,"Bailey, Roth And Keller",Community Health Centre,0.0,St. George,May 01 2024,2018-12-08,,Nan
Hf-0881,Chapman-Peters Polyclinic (Semaj),Hosp.,161.0,Semaj .Ts,05-05-24,05 Dec 2021,Point(-58.83984 12.86774),Good
882,"Ramos, Hernandez And Delgado Medical Center (St.)",Chc,0.0,St. Peter Parish,30 Oct 2020,30 May 2020,13°1′46″N 59°17′20″W,Needs Upgrade
883,Barker-Mendez Hosp.,Clinic,0.0,Christ Church,October 12 2018,20240701,,-
884,Franco-Young (St.),Health Ctr.,0.0,St. Michael Parish,20191002,26 Sep 2021,"-59.03130, 13.29376",
00885,"Fowler, Ward And Stewart Polyclinic",Unknown,0.0,St. Peter,01 Apr 2020,18-05-24,-58.94640;13.26542,Reinspection Due
Nan,Dennis Group (St.James),Polyclinic,0.0,St.James,09-06-18,2020-11-07,-58.96125;12.90712,Follow-Up 2023
887,Mcmillan Plc Hospital,Community Health Centre,0.0,St. John,21 Oct 2023,21-11-25,"12.99101, -59.01282",Nan
887,Mcmillan Plc Hosp.,Community Health Centre,0.0,St. John,21 Oct 2023,21-11-25,"12.99101, -59.01282",Nan
Nan,Flores-Mejia Clinic,Polyclinic,108.0,St.Michael,15/05/22,06 Oct 2018,-59.07437;12.78123,Follow-Up 2023
889,Mcdowell Ltd Polyclinic,Community Health Ctr.,0.0,Christchurch,14/08/21,20180715,Point(-58.74004 13.10180),♥
#890,Hayden-Group Infirmary,Health Centre,0.0,Christ Church Parish,28-02-20,20221029,"-58.81842, 12.82015",
Hf-0891,Clark-Lee (Leahcim),Community Health Ctr.,0.0,Leahcim .Ts,22-09-18,29/08/23,-59.02461;12.97363,Good
B1C07A,Osborn-Hunter Medical Center,Chc,0.0,St. John,25-03-24,20251108,,Nan
26C3B9,Potter Llc Infirmary (St),Clinic🌡️,129.0,St John,2016-04-10,2022-05-20,-59.17331;12.77900,Follow-Up 2023
00894,"Brown, Young And Chan Polyclinic (St.)",Community Health Ctr.,0.0,St. George Parish,32/13/99,20250608,,Nan
#895,Brown Inc Infirmary,Unknown,0.0,St.George,December 08 2025,11-05-23,"13.02619, -59.23663",Good
Hf-0896,Pope-Walker,Health Centre,0.0,St. Andrew,28-04-19,September 04 2024,-59.24495;13.08589,Follow-Up 2023
Nan,Torres-Potts,Community Health Centre,0.0,St. George Parish,31 Jul 2016,10-09-24,12°55′2″N 59°0′46″W,♥
898,Sullivan-Raymond,Polyclinic,0.0,Hcruhc Tsirhc,November 10 2025,17 Feb 2023,Point(-59.20569 13.14383),-
Nan,"Carter, Johnson And Berger",Hospital,0.0,St.Andrew,24 Aug 2025,15/12/20,"12.91688, -58.70343",Nan
#900,Bell-Wood Polyclinic (Christ),Clinic,0.0,Christ Church,2019-02-27,20220228,Point(-59.13827 12.99297),Reinspection Due
D6C841,Lutz-Butler Hosp.,Polyclinic,0.0,Christ Church,January 16 2022,15/10/19,13°4′19″N 58°51′4″W,Needs Upgrade
Nan,"Peters, Fuentes And Hunt Health Centre",Clinic,0.0,Ycul .Ts,August 13 2019,20231204,,
00903,Blair And Sons Infirmary (St.Peter)©,Hospital,0.0,St.Peter,19 Apr 2017,19/06/19,,Follow-Up 2023
904,Austin-Mitchell 🏥,Unknown,0.0,St. George,June 13 2025,09 Feb 2022,"12.70819, -59.07600",Follow-Up 2023
#905,"Mckinney, Myers And Diaz Infirmary",Unknown,331.0,St John,17-03-18,11-07-21,13°0′14″N 58°52′6″W,Nan
00906,Gill Inc Hospital,Clinic🌡️,0.0,St. Michael,July 16 2024,32/13/99,Point(-59.18395 12.79671),
Hf-0907,"Gilbert,-Foster-And-Garcia",Community Health Centre,0.0,St Michael,March 25 2025,20210730,Point(-59.06436 12.70730),Reinspection Due
#908,"Alexander, Graves And Travis Health Centre",Community Health Centre,0.0,St James,2017-02-27,07 Aug 2025,13°4′44″N 59°10′38″W,♥
Nan,Martin-Carr Health Centre,Chc,0.0,St. John,October 14 2020,28 Apr 2021,-59.27368;13.05906,♥
00910,"Hughes, Davies And Brandt Infirmary",Polyclinic 🏥,0.0,St. Joseph,20160225,09 Oct 2025,-58.94061;12.94352,Nan
#911,Lee-Plc Medical Center,Community Health Centre,0.0,St. Peter Parish,20 Mar 2020,2018-06-13,"-58.92342, 13.07445",Good
912,Davis-Terry Hospital,Clinic,0.0,St James,2018-07-11,15-05-23,"-59.20648, 13.28630",Nan
912,Davis-Terry Hosp.,Clinic,0.0,St James,2018-07-11,15-05-23,"-59.20648, 13.28630",Nan
Nan,"Wilcox-Gomez
Newline",Hospital,0.0,St. Andrew,August 22 2022,20240703,"-58.97604, 13.09229",♥
C76A63,"Foster, Bryant And Goodwin Infirmary",Clinic,37.0,St. Joseph Parish,2017-09-05,15/11/21,13°10′33″N 59°7′24″W,Good
Hf-0915,"Simpson, Lopez And Chambers (St.)",Unknown,0.0,St. Lucy Parish,14/09/22,16-08-24,13°10′37″N 59°12′59″W,-
Nan,Johnson Plc Polyclinic,Polyclinic 🏥,0.0,Christ Church,22 Jul 2019,December 28 2022,"-58.92450, 12.91201",
D87Df3,"Stewart, Watson And Garcia (St.)",Community Health Ctr.,0.0,St. Andrew,2020-04-12,2019-06-26,-59.23311;12.72913,Follow-Up 2023
Hf-0918,"Freeman, Lee And Ramirez",Unknown,0.0,St. George,October 28 2016,20200103,,
919,Ward-Hardy 🏥 (St.),Community Health Ctr.,0.0,St. James,32/13/99,2019-04-24,13°8′26″N 58°46′48″W,Nan
Bb7676,"Sutton, Hughes And Fitzgerald",Health Centre,0.0,St. Joseph,13 Feb 2016,August 05 2023,"12.75361, -58.95130",-
921,Reyes-Burns,Clinic,0.0,St. Joseph,11 May 2021,20 Mar 2024,-59.15185;13.08744,Reinspection Due
#922,Spencer Inc Medical Center,Polyclinic 🏥,0.0,St Peter,20230818,September 18 2020,-59.02263;13.16847,♥
Nan,Williams-Wright Polyclinic,Unknown,0.0,St. Michael,25/10/19,20250624,12°50′32″N 58°42′5″W,Follow-Up 2023
Hf-0924,Graham Plc Infirmary (St.),Clinic,0.0,St. Andrew,10 Jan 2018,06 Jan 2018,12°51′10″N 59°15′17″W,
925,Garcia Ltd Health Centre (St.),Hospital,0.0,St. James,March 18 2017,June 09 2020,"12.82984, -58.80750",♥
Nan,Washington-Robinson,Community Health Ctr.,0.0,St. John,October 26 2024,20200826,"13.00044, -59.17552",Nan
Nan,"Montgomery, Chavez And Lee Health Centre (St.)",Hospital,0.0,St. Lucy,18/08/19,20240706,13°15′21″N 58°50′5″W,Good
928,Brown Inc Polyclinic (St.),Unknown,0.0,St. Andrew,June 11 2024,30/05/24,"12.89346, -59.07857",Follow-Up 2023
#929,Stewart Plc Hospital (Christ),Clinic,0.0,Christ Church Parish,06 Jul 2016,February 28 2018,"-58.79797, 13.28324",♥
Nan,"Scott,-Guerrero-And-Barton",Health Ctr.,352.0,St Andrew,31/01/21,20250221,,Nan
Hf-0931,Sanchez Group (St.),Polyclinic,0.0,St. George,2019-05-07,30-08-24,13°8′12″N 59°11′7″W,-
00932,Cline-Marshall Polyclinic,Unknown,0.0,Egroeg .Ts,01 Apr 2021,26 Dec 2022,"12.78886, -59.24340",
00933,Barber Llc Infirmary,Health Ctr.,0.0,Semaj .Ts,August 30 2022,2025-11-13,Point(-59.17255 13.05657),Nan
00934,"Miller,-Pratt-And-Smith",Hospital,0.0,St. Andrew,20230820,18/08/18,13°3′58″N 58°47′44″W,Nan
Nan,Conner-Murphy Clinic,Community Health Centre,0.0,St. John Parish,20210923,20181202,12°46′7″N 58°48′41″W,Nan
Hf-0936,"Mendoza,-Wallace-And-Martinez Medical Center (St)",Clinic,0.0,St Michael,13-12-19,20220118,Point(-58.77511 12.86655),Nan
Nan,Atkins-Watkins 🏥,Chc,0.0,St. Joseph,13 Apr 2023,2021-04-10,12°57′35″N 59°14′37″W,Follow-Up 2023
Nan,Rogers Ltd (St.),Health Centre,0.0,St. Andrew,14-11-23,2022-06-14,Point(-58.91801 12.81668),-
Nan,Simpson-Harvey Infirmary (Christ),Clinic🌡️,0.0,Christ Church,07-12-24,01 Mar 2022,Point(-58.71780 12.91367),Follow-Up 2023
Nan,Washington Inc Hosp.,Health Ctr.,495.0,St Lucy,October 20 2024,20241211,"-58.90097, 12.91757",♥
Nan,Love-Woods Infirmary (St.),Hosp.,0.0,St. Joseph,20220921,2022-04-01,"12.98566, -58.87799",
Hf-0942,"Harris,-Shaffer-And-Fisher",Hospital,0.0,Nhoj .Ts,21/06/18,January 02 2024,-58.74870;13.21204,Good
Hf-0943,Leonard-Massey Hospital (St),Polyclinic 🏥,0.0,St Joseph,2024-06-22,2022-01-27,13°4′51″N 59°14′22″W,Good
Hf-0943,Leonard-Massey Hosp. (St),Polyclinic 🏥,0.0,St Joseph,2024-06-22,2022-01-27,13°4′51″N 59°14′22″W,Good
Fe5509,"Coleman,-Gould-And-Cain Infirmary",Clinic🌡️,0.0,Christ Church,November 28 2019,20201206,-59.14677;13.00341,Nan
Nan,"Odom-Ltd
Newline",Polyclinic,366.0,St. Lucy,04 Jul 2023,17 Feb 2023,12°56′37″N 58°48′1″W,♥
C42228,White-Flores Hospital (St.Joseph),Community Health Ctr.,0.0,St.Joseph,20220904,20220317,"-58.82598, 12.92860",Reinspection Due
#947,"Richardson, Hernandez And Martin (St)©",Unknown,0.0,St Andrew,20210929,18 Apr 2019,"13.26980, -59.14311",-
Nan,"Cruz,-Webb-And-Henderson Health Centre",Hosp.,0.0,St. Lucy,29-04-23,2024-01-22,13°1′36″N 59°12′10″W,♥
Hf-0949,Nguyen-And-Sons Medical Center💊,Unknown,0.0,St. Michael,19-01-21,03-12-19,Point(-58.78068 12.71768),♥
#950,"Fitzgerald, Russell And Ayala Health Centre (Hpesoj)",Clinic🌡️,0.0,Hpesoj .Ts,23 Mar 2017,20250817,Point(-58.74284 13.29955),Nan
Hf-0951,Martin-Warner Polyclinic (St.),Unknown,0.0,St. Peter,20231024,24-04-24,Point(-58.92802 13.14362),Nan
#952,"Vance, Clark And Guerra 🏥",Community Health Centre,0.0,Hcruhc Tsirhc,30-07-18,22 Jan 2023,"-59.17948, 13.01070",-
#953,Alvarez Inc Health Centre,Polyclinic 🏥,281.0,Hcruhc Tsirhc,August 14 2025,20250628,12°44′30″N 58°48′22″W,-
B9D61A,Hayes Ltd 🏥,Community Health Ctr.,0.0,St. Joseph,12-02-23,15-11-19,12°47′38″N 59°15′9″W,Nan
Nan,Mitchell Llc Clinic (Christ),Health Centre,0.0,Christ Church,03/02/25,17-03-25,,-
Nan,Gonzales-Carey©,Clinic,0.0,Christ Church Parish,20220824,29/05/21,12°50′53″N 59°17′14″W,
Nan,White Ltd Polyclinic,Polyclinic 🏥,0.0,St. Michael,21 Jul 2019,12/01/25,"12.98203, -59.25816",Good
Nan,"Smith,-Nichols-And-Romero (St.)",Polyclinic,0.0,St. Michael,20250915,26 Jan 2025,"-58.88296, 12.76671",
Nan,"Beard, Clarke And Ross Medical Center (St.)",Health Centre,0.0,St. Peter,May 09 2022,27 Feb 2022,-58.88508;13.03357,Good
Nan,"Bailey, James And Duncan Infirmary (St.)",Health Ctr.,0.0,St. John,20-10-16,09-01-22,13°12′45″N 58°57′33″W,Needs Upgrade
961,Frye Ltd Hosp.,Hospital,0.0,St. James,20171113,2021-11-26,-59.02993;12.76077,Nan
#962,"Smith, Hodges And Hoover 🏥",Unknown,0.0,Christ Church,15 Apr 2017,25-06-20,-59.10810;13.04706,
89Dd94,Ryan-Buck Polyclinic,Polyclinic 🏥,0.0,St. James,29-02-24,29-01-19,,Good
Hf-0964,Abbott And Sons,Hospital,0.0,St. Joseph,2023-12-26,December 29 2024,Point(-58.96064 12.90995),Nan
Nan,"Hill, Brown And Martinez 🏥 (Christ)",Clinic,0.0,Christ Church,2022-08-16,18/04/25,"-58.79618, 12.74035",Needs Upgrade
00966,Rosario-Moore,Community Health Ctr.,0.0,St. John,13 Feb 2020,20250723,-59.05395;12.87489,Good
967,Brown-Jones Clinic,Health Centre,0.0,St.George,05/07/23,20211010,Point(-58.82615 13.04802),♥
Nan,Rivera-Taylor Infirmary (St.)©,Unknown,361.0,St. Lucy,20161228,19-07-22,"-58.95961, 13.22036",Reinspection Due
Nan,Garcia-Hernandez,Polyclinic 🏥,471.0,Christchurch,29-02-20,14-04-24,Point(-59.20520 13.28474),♥
Nan,Griffin-Garcia,Chc,0.0,St George,November 20 2017,January 31 2021,13°1′50″N 58°52′58″W,Nan
971,"Lawson, Rivera And Hughes",Community Health Ctr.,0.0,Christchurch,November 05 2022,27/02/20,,Follow-Up 2023
546498,"Berry, Ruiz And Santos Hospital (St.)",Unknown,0.0,St. George,15/05/25,December 06 2024,-59.27502;12.70163,Good
973,Miller Llc (St.),Polyclinic,0.0,St. George,12 Oct 2025,17 Sep 2025,"-59.05727, 13.13459",Good
Nan,Gross Inc Health Centre,Polyclinic,0.0,Hcruhc Tsirhc,11-03-22,2020-05-22,"12.80167, -59.20651",-
975,Johnson-Young Hosp. (St.),Polyclinic 🏥,0.0,St. John Parish,04-09-22,20180131,"12.76411, -59.27511",Nan
Nan,Hood-Baker Polyclinic (Egroeg),Community Health Ctr.,0.0,Egroeg .Ts,30-09-23,30 Mar 2025,Point(-59.18643 13.11810),-
E8085F,Larsen Group✨,Unknown,0.0,St. Lucy Parish,02-02-24,32/13/99,-58.72579;13.17920,-
#978,Martin And Sons (St.),Clinic🌡️,0.0,St. Joseph,08/08/25,July 22 2025,"-59.01197, 12.97341",Reinspection Due
00979,"Price,-Poole-And-Cohen",Unknown,0.0,Nhoj .Ts,18 Apr 2025,June 29 2024,"-59.03929, 13.07984",Nan
00980,Underwood-Alexander Hospital,Hospital,0.0,St. John,2021-09-19,01 Feb 2025,,Follow-Up 2023
#981,Shah Inc Medical Center,Unknown,0.0,St.John,13 Nov 2017,01/11/20,12°46′33″N 59°13′3″W,Good
E1Fbe9,"Brown, Hurley And Simmons Hosp.",Polyclinic,0.0,St Lucy,20180507,30 Nov 2020,-59.18159;13.13988,Nan
Nan,Schmidt-Blair Hospital (St.),Health Centre,0.0,St. Peter,27-01-22,15-11-21,12°47′14″N 59°5′38″W,Reinspection Due
477542,French Ltd Health Centre,Clinic🌡️,0.0,St. George,20170529,06/05/18,12°57′59″N 58°49′45″W,♥
00985,"Thomas,-Martin-And-Cruz",Unknown,0.0,St. Peter,20191201,17/02/23,-58.88323;13.08510,♥
Nan,Fitzgerald-Plc (St.),Clinic🌡️,0.0,St. James,20221016,30/12/18,-59.16720;13.18862,Nan
Nan,"Davis,-Smith-And-Curtis",Health Centre,0.0,Retep .Ts,07-06-17,2019-04-04,"-59.22498, 13.07362",Reinspection Due
00988,"Smith-Mccoy 🏥 (St.)
Newline",Unknown,0.0,St. Andrew,2019-05-28,20210224,-58.89290;12.96532,Reinspection Due
Hf-0989,"Wilson, Lane And Jordan Medical Center💊",Clinic🌡️,0.0,St. Lucy,January 21 2023,September 06 2022,,Good
Bba64C,"Anderson, Copeland And Torres Polyclinic (St.)",Hosp.,0.0,St. Andrew,20220703,25-08-23,12°59′3″N 59°2′55″W,♥
Nan,Thomas-Carter Health Centre,Hospital,0.0,St. Peter,2025-01-11,2021-10-22,Point(-59.25675 13.03357),Needs Upgrade
Hf-0992,Brandt-Brown,Hospital,0.0,St. George,24/07/20,05/11/24,-59.26548;13.28003,Good
Nan,Curtis-Sanchez Clinic©,Hosp.,0.0,St. John,2023-09-09,17 May 2023,"13.16504, -58.90904",Good
00994,Weber Group,Community Health Centre,0.0,St. John,30-11-18,20250517,"-59.09223, 12.77864",Needs Upgrade
00995,West Plc Infirmary,Hosp.,0.0,St.John,20170908,20210401,"-58.94030, 12.73898",Reinspection Due
00996,Grimes-Manning Medical Center (St.Joseph),Chc,0.0,St.Joseph,06/03/25,32/13/99,,
Hf-0997,Wright Llc Medical Center,Chc,0.0,Egroeg .Ts,2017-04-24,07-01-22,,Follow-Up 2023
2F0Aa8,Kerr-Plc,Community Health Centre,111.0,St.Lucy,13 Jul 2023,27 Jan 2023,Point(-58.71430 12.78764),Good
Nan,Serrano Ltd Polyclinic (St.),Hosp.,0.0,St. George,25-05-21,18-03-25,-59.14060;13.11407,♥
1000,Klein-Shepard Medical Center (St.),Clinic,0.0,St. George,02 Jul 2018,20240504,"-59.14012, 13.27822",Needs Upgrade
Nan,Wheeler-Carson 🏥 (St.),Community Health Ctr.,0.0,St. Peter,29-09-25,January 27 2020,"-58.79460, 12.98531",Reinspection Due
Nan,"Kelley, Price And Boyle💊",Community Health Centre,0.0,St. John,17/03/21,02/02/19,"-59.19764, 13.19043",-
#1003,Smith-Phillips Clinic,Polyclinic 🏥,0.0,St.Lucy,02 Jun 2017,April 07 2022,"-58.97036, 12.90605",
Hf-1004,"Anderson, Wood And Riggs Hospital",Clinic🌡️,0.0,Nhoj .Ts,10-06-23,2024-12-01,"12.97271, -58.98407",♥
Nan,King-Morales 🏥,Health Ctr.,0.0,St. Andrew,June 30 2017,05 Feb 2024,Point(-59.01456 12.78990),
Nan,Gardner Ltd 🏥,Hospital,0.0,St. Lucy,06 Oct 2024,25 Apr 2022,"13.06194, -58.96588",Follow-Up 2023
Hf-1007,Hudson Group 🏥 (Christ),Hosp.,0.0,Christ Church,05-06-20,20191218,Point(-58.82526 13.19604),Nan
Hf-1008,Smith Plc Medical Center,Health Centre,0.0,Leahcim .Ts,2025-10-29,03-03-21,12°53′52″N 58°49′58″W,♥
01009,"Weaver, West And Summers Medical Center✨",Hospital,0.0,St. Michael,15 Nov 2018,10/08/22,,Nan
1010,"Bell,-Clark-And-Bauer Polyclinic",Community Health Ctr.,0.0,Werdna .Ts,November 07 2016,07 Nov 2022,"-58.93253, 13.01204",Follow-Up 2023
Nan,"Gray, Strong And Jennings Hosp.💊",Polyclinic,0.0,St. Peter,18 May 2024,December 30 2018,,Good
01012,Whitney And Sons (St.),Community Health Centre,0.0,St. Lucy Parish,12-01-16,2020-11-13,Point(-59.29930 12.91578),Nan
01013,"Thompson, Bradley And Sullivan (St.)",Community Health Centre,0.0,St. Lucy,2018-11-11,20201011,"-59.27710, 12.80964",
Hf-1014,"Fernandez,-Lyons-And-Morrison Hosp. (St.Lucy)",Hosp.,0.0,St.Lucy,12 Apr 2023,09-01-23,,♥
01015,Clark-Henry 🏥,Chc,0.0,St George,2018-11-20,10-08-24,"13.26395, -59.09903",Reinspection Due
01016,"Riley,-Best-And-Jones Health Centre",Health Centre,0.0,Christ Church,20221029,21/05/22,Point(-59.19104 12.75813),Follow-Up 2023
01017,Garcia-Brooks Infirmary (St.),Unknown,0.0,St. George,07/01/20,14-10-19,"-59.09926, 12.98039",♥
Nan,"Deleon, Phelps And Hernandez Infirmary",Polyclinic,0.0,St James,2022-07-17,10/04/20,"13.08449, -59.19035",-
Nan,Richardson Ltd,Clinic,0.0,St. Joseph,29-09-21,28 Feb 2022,,♥
Nan,"Jackson,-Thompson-And-Patel 🏥",Health Centre,0.0,St. Andrew,20230911,February 07 2020,"-58.84444, 13.27121",Good
01021,"Mcclain, Snyder And Walls Hospital",Clinic,0.0,St Lucy,January 28 2016,12/10/18,13°7′13″N 59°15′36″W,♥
Hf-1022,"Smith, Roberts And Davis Health Centre (Christchurch)",Clinic🌡️,413.0,Christchurch,February 21 2025,20230717,13°8′59″N 59°15′2″W,Nan
5E51E7,Salazar-Neal Hosp.,Community Health Ctr.,0.0,St Andrew,22/10/25,September 04 2022,12°43′23″N 59°8′58″W,Nan
Nan,"Macdonald, Martinez And Ortega (St.)",Clinic🌡️,0.0,St. Michael,11-06-21,22/12/22,Point(-59.22906 12.70710),Needs Upgrade
Hf-1025,Frazier-Llc Clinic,Unknown,0.0,St. George,2016-08-14,22-11-24,-58.87100;12.95744,-
Hf-1025,Frazier-Llc Clin.,Unknown,0.0,St. George,2016-08-14,22-11-24,-58.87100;12.95744,-
01026,Branch-Williams Infirmary,Unknown,0.0,Egroeg .Ts,03 Apr 2017,13-05-23,-58.82182;13.07787,-
Nan,Munoz-Trevino Medical Center (St.),Chc,0.0,St. Peter,2020-06-12,06-07-18,13°6′41″N 59°13′9″W,
